Subject	Sample
NA20886	NA20886
NA18561	NA18561
NA12718	NA12718
HG03049	HG03049
HG01504	HG01504
HG01872	HG01872
HG02811	HG02811
HG01277	HG01277
NA19658	NA19658
HG02585	HG02585
HG03172	HG03172
HG02190	HG02190
NA19078	NA19078
HG00701	HG00701
HG01801	HG01801
HG00338	HG00338
HG00472	HG00472
HG01248	HG01248
NA20355	NA20355
NA20519	NA20519
HG00116	HG00116
HG01119	HG01119
HG02052	HG02052
NA19084	NA19084
NA18907	NA18907
NA19113	NA19113
HG01672	HG01672
NA18858	NA18858
HG00611	HG00611
HG03039	HG03039
NA19137	NA19137
HG01857	HG01857
HG01281	HG01281
NA19057	NA19057
NA20542	NA20542
HG00651	HG00651
HG02763	HG02763
HG02651	HG02651
HG01479	HG01479
NA18640	NA18640
HG00110	HG00110
HG00267	HG00267
HG02220	HG02220
HG01761	HG01761
NA20802	NA20802
HG00274	HG00274
HG01251	HG01251
HG00590	HG00590
HG01623	HG01623
HG00130	HG00130
HG01356	HG01356
NA18548	NA18548
HG01686	HG01686
HG03280	HG03280
HG02232	HG02232
HG00129	HG00129
NA11994	NA11994
NA20514	NA20514
NA18638	NA18638
HG03437	HG03437
NA19463	NA19463
HG03452	HG03452
NA19399	NA19399
HG02508	HG02508
HG01880	HG01880
HG00112	HG00112
HG01325	HG01325
HG01162	HG01162
HG00327	HG00327
HG00313	HG00313
HG02399	HG02399
NA19438	NA19438
HG03241	HG03241
HG03432	HG03432
NA18545	NA18545
HG01864	HG01864
HG00364	HG00364
HG00323	HG00323
HG00334	HG00334
HG00376	HG00376
HG02947	HG02947
NA18749	NA18749
HG00306	HG00306
HG02069	HG02069
NA18498	NA18498
NA19010	NA19010
NA19096	NA19096
NA20510	NA20510
HG01853	HG01853
NA12004	NA12004
NA19923	NA19923
HG01510	HG01510
HG02629	HG02629
HG01122	HG01122
HG02541	HG02541
NA18870	NA18870
NA18592	NA18592
NA19007	NA19007
HG02439	HG02439
HG01896	HG01896
HG02013	HG02013
NA20276	NA20276
HG00118	HG00118
HG01531	HG01531
NA20799	NA20799
NA19393	NA19393
HG01374	HG01374
HG03117	HG03117
HG01094	HG01094
HG01756	HG01756
NA12890	NA12890
HG02974	HG02974
HG01465	HG01465
NA18631	NA18631
HG02623	HG02623
HG02187	HG02187
NA19669	NA19669
HG03311	HG03311
HG02666	HG02666
HG00276	HG00276
HG02355	HG02355
NA19701	NA19701
HG00342	HG00342
HG01079	HG01079
HG01077	HG01077
HG02722	HG02722
NA19684	NA19684
NA20348	NA20348
NA20340	NA20340
HG00181	HG00181
HG02308	HG02308
HG00146	HG00146
HG01247	HG01247
HG01507	HG01507
HG03064	HG03064
NA18998	NA18998
HG00844	HG00844
NA12762	NA12762
NA19247	NA19247
NA12761	NA12761
NA19351	NA19351
NA19451	NA19451
HG03291	HG03291
HG02164	HG02164
HG00285	HG00285
NA20808	NA20808
NA20520	NA20520
HG00614	HG00614
HG01182	HG01182
NA19916	NA19916
NA19031	NA19031
HG02143	HG02143
NA19077	NA19077
HG01844	HG01844
HG02239	HG02239
NA18591	NA18591
HG01198	HG01198
NA20503	NA20503
NA19346	NA19346
NA18567	NA18567
HG01344	HG01344
HG03572	HG03572
NA19003	NA19003
NA18558	NA18558
