SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR
HG02081	peripheral 	blood 	DNA unknown
NA20525	peripheral 	blood 	DNA unknown
HG00584	peripheral 	blood 	DNA unknown
NA07056	peripheral 	blood 	DNA unknown
HG00554	peripheral 	blood 	DNA unknown
HG00278	peripheral 	blood 	DNA unknown
HG01140	peripheral 	blood 	DNA unknown
NA20796	peripheral 	blood 	DNA unknown
NA19141	peripheral 	blood 	DNA unknown
HG01768	peripheral 	blood 	DNA unknown
HG02395	peripheral 	blood 	DNA unknown
NA20528	peripheral 	blood 	DNA unknown
HG03470	peripheral 	blood 	DNA unknown
HG02769	peripheral 	blood 	DNA unknown
NA18539	peripheral 	blood 	DNA unknown
HG01784	peripheral 	blood 	DNA unknown
NA19909	peripheral 	blood 	DNA unknown
HG03369	peripheral 	blood 	DNA unknown
HG01938	peripheral 	blood 	DNA unknown
HG00478	peripheral 	blood 	DNA unknown
HG01630	peripheral 	blood 	DNA unknown
NA19209	peripheral 	blood 	DNA unknown
HG01989	peripheral 	blood 	DNA unknown
NA19002	peripheral 	blood 	DNA unknown
HG01859	peripheral 	blood 	DNA unknown
NA19430	peripheral 	blood 	DNA unknown
NA18642	peripheral 	blood 	DNA unknown
NA18535	peripheral 	blood 	DNA unknown
HG02060	peripheral 	blood 	DNA unknown
NA18962	peripheral 	blood 	DNA unknown
HG02808	peripheral 	blood 	DNA unknown
HG01501	peripheral 	blood 	DNA unknown
NA19917	peripheral 	blood 	DNA unknown
NA18486	peripheral 	blood 	DNA unknown
HG01072	peripheral 	blood 	DNA unknown
HG01680	peripheral 	blood 	DNA unknown
HG02050	peripheral 	blood 	DNA unknown
NA19055	peripheral 	blood 	DNA unknown
HG02006	peripheral 	blood 	DNA unknown
NA18525	peripheral 	blood 	DNA unknown
HG01459	peripheral 	blood 	DNA unknown
NA20544	peripheral 	blood 	DNA unknown
HG02678	peripheral 	blood 	DNA unknown
HG03237	peripheral 	blood 	DNA unknown
NA19189	peripheral 	blood 	DNA unknown
HG03303	peripheral 	blood 	DNA unknown
HG01600	peripheral 	blood 	DNA unknown
HG01799	peripheral 	blood 	DNA unknown
HG03108	peripheral 	blood 	DNA unknown
HG02881	peripheral 	blood 	DNA unknown
NA20811	peripheral 	blood 	DNA unknown
NA20804	peripheral 	blood 	DNA unknown
HG01055	peripheral 	blood 	DNA unknown
HG00583	peripheral 	blood 	DNA unknown
HG00290	peripheral 	blood 	DNA unknown
HG00641	peripheral 	blood 	DNA unknown
HG01805	peripheral 	blood 	DNA unknown
HG03168	peripheral 	blood 	DNA unknown
NA20317	peripheral 	blood 	DNA unknown
HG01112	peripheral 	blood 	DNA unknown
NA20763	peripheral 	blood 	DNA unknown
NA19461	peripheral 	blood 	DNA unknown
HG01807	peripheral 	blood 	DNA unknown
HG02588	peripheral 	blood 	DNA unknown
HG01777	peripheral 	blood 	DNA unknown
HG03202	peripheral 	blood 	DNA unknown
HG03476	peripheral 	blood 	DNA unknown
NA18552	peripheral 	blood 	DNA unknown
HG00308	peripheral 	blood 	DNA unknown
HG01530	peripheral 	blood 	DNA unknown
HG00145	peripheral 	blood 	DNA unknown
NA20858	peripheral 	blood 	DNA unknown
NA19449	peripheral 	blood 	DNA unknown
NA11933	peripheral 	blood 	DNA unknown
HG01869	peripheral 	blood 	DNA unknown
HG03091	peripheral 	blood 	DNA unknown
NA19068	peripheral 	blood 	DNA unknown
HG01958	peripheral 	blood 	DNA unknown
HG03376	peripheral 	blood 	DNA unknown
HG00879	peripheral 	blood 	DNA unknown
NA19080	peripheral 	blood 	DNA unknown
HG03514	peripheral 	blood 	DNA unknown
HG01191	peripheral 	blood 	DNA unknown
HG02814	peripheral 	blood 	DNA unknown
NA06984	peripheral 	blood 	DNA unknown
NA19678	peripheral 	blood 	DNA unknown
HG03097	peripheral 	blood 	DNA unknown
HG01389	peripheral 	blood 	DNA unknown
HG02156	peripheral 	blood 	DNA unknown
HG02067	peripheral 	blood 	DNA unknown
NA12878	peripheral 	blood 	DNA unknown
HG01204	peripheral 	blood 	DNA unknown
HG00403	peripheral 	blood 	DNA unknown
NA18550	peripheral 	blood 	DNA unknown
HG02888	peripheral 	blood 	DNA unknown
NA18946	peripheral 	blood 	DNA unknown
NA12249	peripheral 	blood 	DNA unknown
NA18951	peripheral 	blood 	DNA unknown
NA18972	peripheral 	blood 	DNA unknown
HG02385	peripheral 	blood 	DNA unknown
NA19030	peripheral 	blood 	DNA unknown
HG01242	peripheral 	blood 	DNA unknown
HG01521	peripheral 	blood 	DNA unknown
NA18571	peripheral 	blood 	DNA unknown
NA19064	peripheral 	blood 	DNA unknown
NA19171	peripheral 	blood 	DNA unknown
NA20504	peripheral 	blood 	DNA unknown
NA19467	peripheral 	blood 	DNA unknown
NA20756	peripheral 	blood 	DNA unknown
NA19711	peripheral 	blood 	DNA unknown
HG01625	peripheral 	blood 	DNA unknown
NA19350	peripheral 	blood 	DNA unknown
HG01104	peripheral 	blood 	DNA unknown
HG03460	peripheral 	blood 	DNA unknown
NA18570	peripheral 	blood 	DNA unknown
NA18975	peripheral 	blood 	DNA unknown
NA18516	peripheral 	blood 	DNA unknown
HG01377	peripheral 	blood 	DNA unknown
NA18748	peripheral 	blood 	DNA unknown
NA11831	peripheral 	blood 	DNA unknown
NA19397	peripheral 	blood 	DNA unknown
HG00729	peripheral 	blood 	DNA unknown
HG02496	peripheral 	blood 	DNA unknown
NA19095	peripheral 	blood 	DNA unknown
NA20294	peripheral 	blood 	DNA unknown
NA18874	peripheral 	blood 	DNA unknown
HG00107	peripheral 	blood 	DNA unknown
HG02554	peripheral 	blood 	DNA unknown
HG01608	peripheral 	blood 	DNA unknown
NA19238	peripheral 	blood 	DNA unknown
NA19317	peripheral 	blood 	DNA unknown
HG02489	peripheral 	blood 	DNA unknown
NA12775	peripheral 	blood 	DNA unknown
HG01710	peripheral 	blood 	DNA unknown
NA19380	peripheral 	blood 	DNA unknown
NA19019	peripheral 	blood 	DNA unknown
NA20774	peripheral 	blood 	DNA unknown
HG00369	peripheral 	blood 	DNA unknown
HG00183	peripheral 	blood 	DNA unknown
HG01413	peripheral 	blood 	DNA unknown
NA19089	peripheral 	blood 	DNA unknown
NA20770	peripheral 	blood 	DNA unknown
HG02107	peripheral 	blood 	DNA unknown
HG03121	peripheral 	blood 	DNA unknown
HG03394	peripheral 	blood 	DNA unknown
NA12044	peripheral 	blood 	DNA unknown
HG01855	peripheral 	blood 	DNA unknown
NA19984	peripheral 	blood 	DNA unknown
HG00684	peripheral 	blood 	DNA unknown
HG00346	peripheral 	blood 	DNA unknown
HG00176	peripheral 	blood 	DNA unknown
NA19309	peripheral 	blood 	DNA unknown
NA19006	peripheral 	blood 	DNA unknown
NA20768	peripheral 	blood 	DNA unknown
HG03175	peripheral 	blood 	DNA unknown
HG03279	peripheral 	blood 	DNA unknown
NA18983	peripheral 	blood 	DNA unknown
NA19900	peripheral 	blood 	DNA unknown
NA12827	peripheral 	blood 	DNA unknown
NA18630	peripheral 	blood 	DNA unknown
HG00525	peripheral 	blood 	DNA unknown
HG02634	peripheral 	blood 	DNA unknown
NA20507	peripheral 	blood 	DNA unknown
HG02122	peripheral 	blood 	DNA unknown
HG03060	peripheral 	blood 	DNA unknown
HG02398	peripheral 	blood 	DNA unknown
NA18908	peripheral 	blood 	DNA unknown
HG01176	peripheral 	blood 	DNA unknown
NA20785	peripheral 	blood 	DNA unknown
NA11932	peripheral 	blood 	DNA unknown
HG00138	peripheral 	blood 	DNA unknown
NA18989	peripheral 	blood 	DNA unknown
HG00436	peripheral 	blood 	DNA unknown
HG02455	peripheral 	blood 	DNA unknown
HG03058	peripheral 	blood 	DNA unknown
HG00457	peripheral 	blood 	DNA unknown
HG00282	peripheral 	blood 	DNA unknown
HG02490	peripheral 	blood 	DNA unknown
NA11832	peripheral 	blood 	DNA unknown
HG01105	peripheral 	blood 	DNA unknown
HG01061	peripheral 	blood 	DNA unknown
HG02737	peripheral 	blood 	DNA unknown
NA06986	peripheral 	blood 	DNA unknown
HG02058	peripheral 	blood 	DNA unknown
NA19773	peripheral 	blood 	DNA unknown
NA19201	peripheral 	blood 	DNA unknown
NA19651	peripheral 	blood 	DNA unknown
HG02645	peripheral 	blood 	DNA unknown
HG02134	peripheral 	blood 	DNA unknown
HG00243	peripheral 	blood 	DNA unknown
HG01345	peripheral 	blood 	DNA unknown
HG00422	peripheral 	blood 	DNA unknown
NA18511	peripheral 	blood 	DNA unknown
HG00530	peripheral 	blood 	DNA unknown
HG03472	peripheral 	blood 	DNA unknown
NA20819	peripheral 	blood 	DNA unknown
NA20775	peripheral 	blood 	DNA unknown
HG02646	peripheral 	blood 	DNA unknown
HG03300	peripheral 	blood 	DNA unknown
HG02419	peripheral 	blood 	DNA unknown
NA19036	peripheral 	blood 	DNA unknown
HG02464	peripheral 	blood 	DNA unknown
NA19462	peripheral 	blood 	DNA unknown
HG01675	peripheral 	blood 	DNA unknown
HG00542	peripheral 	blood 	DNA unknown
HG01551	peripheral 	blood 	DNA unknown
NA18647	peripheral 	blood 	DNA unknown
HG00179	peripheral 	blood 	DNA unknown
HG02185	peripheral 	blood 	DNA unknown
HG01606	peripheral 	blood 	DNA unknown
NA19083	peripheral 	blood 	DNA unknown
HG02861	peripheral 	blood 	DNA unknown
NA19725	peripheral 	blood 	DNA unknown
NA19058	peripheral 	blood 	DNA unknown
NA18520	peripheral 	blood 	DNA unknown
HG01275	peripheral 	blood 	DNA unknown
NA20533	peripheral 	blood 	DNA unknown
HG02410	peripheral 	blood 	DNA unknown
HG02085	peripheral 	blood 	DNA unknown
NA19750	peripheral 	blood 	DNA unknown
NA20543	peripheral 	blood 	DNA unknown
HG01088	peripheral 	blood 	DNA unknown
HG02095	peripheral 	blood 	DNA unknown
HG00151	peripheral 	blood 	DNA unknown
NA19130	peripheral 	blood 	DNA unknown
NA19144	peripheral 	blood 	DNA unknown
HG02582	peripheral 	blood 	DNA unknown
HG01804	peripheral 	blood 	DNA unknown
HG02805	peripheral 	blood 	DNA unknown
HG03461	peripheral 	blood 	DNA unknown
NA19374	peripheral 	blood 	DNA unknown
NA18968	peripheral 	blood 	DNA unknown
NA18948	peripheral 	blood 	DNA unknown
HG00120	peripheral 	blood 	DNA unknown
NA12414	peripheral 	blood 	DNA unknown
HG01173	peripheral 	blood 	DNA unknown
HG01113	peripheral 	blood 	DNA unknown
HG02470	peripheral 	blood 	DNA unknown
NA11892	peripheral 	blood 	DNA unknown
NA18622	peripheral 	blood 	DNA unknown
NA19041	peripheral 	blood 	DNA unknown
NA18619	peripheral 	blood 	DNA unknown
HG01461	peripheral 	blood 	DNA unknown
NA20588	peripheral 	blood 	DNA unknown
NA19436	peripheral 	blood 	DNA unknown
HG02078	peripheral 	blood 	DNA unknown
HG03343	peripheral 	blood 	DNA unknown
NA20904	peripheral 	blood 	DNA unknown
HG01390	peripheral 	blood 	DNA unknown
HG01049	peripheral 	blood 	DNA unknown
HG00593	peripheral 	blood 	DNA unknown
HG01815	peripheral 	blood 	DNA unknown
NA19190	peripheral 	blood 	DNA unknown
HG02028	peripheral 	blood 	DNA unknown
HG03198	peripheral 	blood 	DNA unknown
HG01148	peripheral 	blood 	DNA unknown
HG02676	peripheral 	blood 	DNA unknown
HG01372	peripheral 	blood 	DNA unknown
HG01685	peripheral 	blood 	DNA unknown
HG00717	peripheral 	blood 	DNA unknown
NA18881	peripheral 	blood 	DNA unknown
HG01583	peripheral 	blood 	DNA unknown
HG00235	peripheral 	blood 	DNA unknown
NA19982	peripheral 	blood 	DNA unknown
HG01597	peripheral 	blood 	DNA unknown
HG03136	peripheral 	blood 	DNA unknown
NA12287	peripheral 	blood 	DNA unknown
NA20754	peripheral 	blood 	DNA unknown
HG02054	peripheral 	blood 	DNA unknown
HG00867	peripheral 	blood 	DNA unknown
HG00580	peripheral 	blood 	DNA unknown
HG01130	peripheral 	blood 	DNA unknown
NA20790	peripheral 	blood 	DNA unknown
HG01668	peripheral 	blood 	DNA unknown
HG01271	peripheral 	blood 	DNA unknown
HG02384	peripheral 	blood 	DNA unknown
HG00262	peripheral 	blood 	DNA unknown
HG02501	peripheral 	blood 	DNA unknown
HG00734	peripheral 	blood 	DNA unknown
HG03372	peripheral 	blood 	DNA unknown
NA19223	peripheral 	blood 	DNA unknown
HG00692	peripheral 	blood 	DNA unknown
HG02127	peripheral 	blood 	DNA unknown
NA19779	peripheral 	blood 	DNA unknown
HG03634	peripheral 	blood 	DNA unknown
HG01491	peripheral 	blood 	DNA unknown
HG01773	peripheral 	blood 	DNA unknown
NA18531	peripheral 	blood 	DNA unknown
HG01776	peripheral 	blood 	DNA unknown
NA18563	peripheral 	blood 	DNA unknown
NA12058	peripheral 	blood 	DNA unknown
HG00142	peripheral 	blood 	DNA unknown
HG02048	peripheral 	blood 	DNA unknown
HG03190	peripheral 	blood 	DNA unknown
HG00565	peripheral 	blood 	DNA unknown
HG02771	peripheral 	blood 	DNA unknown
NA20357	peripheral 	blood 	DNA unknown
NA18965	peripheral 	blood 	DNA unknown
HG02839	peripheral 	blood 	DNA unknown
NA19819	peripheral 	blood 	DNA unknown
HG00728	peripheral 	blood 	DNA unknown
HG00634	peripheral 	blood 	DNA unknown
HG02733	peripheral 	blood 	DNA unknown
HG00367	peripheral 	blood 	DNA unknown
NA12144	peripheral 	blood 	DNA unknown
HG01359	peripheral 	blood 	DNA unknown
NA19395	peripheral 	blood 	DNA unknown
HG03565	peripheral 	blood 	DNA unknown
NA20586	peripheral 	blood 	DNA unknown
NA19075	peripheral 	blood 	DNA unknown
HG01695	peripheral 	blood 	DNA unknown
NA18867	peripheral 	blood 	DNA unknown
NA19377	peripheral 	blood 	DNA unknown
NA18635	peripheral 	blood 	DNA unknown
HG01619	peripheral 	blood 	DNA unknown
HG01968	peripheral 	blood 	DNA unknown
NA19440	peripheral 	blood 	DNA unknown
HG01353	peripheral 	blood 	DNA unknown
HG02281	peripheral 	blood 	DNA unknown
HG01874	peripheral 	blood 	DNA unknown
HG02977	peripheral 	blood 	DNA unknown
HG02558	peripheral 	blood 	DNA unknown
HG00657	peripheral 	blood 	DNA unknown
NA19102	peripheral 	blood 	DNA unknown
HG00437	peripheral 	blood 	DNA unknown
NA19731	peripheral 	blood 	DNA unknown
NA12751	peripheral 	blood 	DNA unknown
HG02026	peripheral 	blood 	DNA unknown
NA12829	peripheral 	blood 	DNA unknown
NA19473	peripheral 	blood 	DNA unknown
NA19404	peripheral 	blood 	DNA unknown
NA19023	peripheral 	blood 	DNA unknown
NA20299	peripheral 	blood 	DNA unknown
HG03436	peripheral 	blood 	DNA unknown
HG01883	peripheral 	blood 	DNA unknown
HG02870	peripheral 	blood 	DNA unknown
HG02373	peripheral 	blood 	DNA unknown
NA18645	peripheral 	blood 	DNA unknown
HG01708	peripheral 	blood 	DNA unknown
HG03129	peripheral 	blood 	DNA unknown
HG01866	peripheral 	blood 	DNA unknown
NA18543	peripheral 	blood 	DNA unknown
NA18853	peripheral 	blood 	DNA unknown
NA20810	peripheral 	blood 	DNA unknown
NA20274	peripheral 	blood 	DNA unknown
NA11995	peripheral 	blood 	DNA unknown
HG01791	peripheral 	blood 	DNA unknown
HG00237	peripheral 	blood 	DNA unknown
HG01095	peripheral 	blood 	DNA unknown
HG00309	peripheral 	blood 	DNA unknown
HG00610	peripheral 	blood 	DNA unknown
HG02675	peripheral 	blood 	DNA unknown
HG01125	peripheral 	blood 	DNA unknown
HG01851	peripheral 	blood 	DNA unknown
HG00373	peripheral 	blood 	DNA unknown
HG02462	peripheral 	blood 	DNA unknown
HG00620	peripheral 	blood 	DNA unknown
NA18595	peripheral 	blood 	DNA unknown
NA20281	peripheral 	blood 	DNA unknown
HG02392	peripheral 	blood 	DNA unknown
HG01311	peripheral 	blood 	DNA unknown
NA20512	peripheral 	blood 	DNA unknown
HG02318	peripheral 	blood 	DNA unknown
HG00190	peripheral 	blood 	DNA unknown
HG01497	peripheral 	blood 	DNA unknown
HG03163	peripheral 	blood 	DNA unknown
HG03114	peripheral 	blood 	DNA unknown
NA18488	peripheral 	blood 	DNA unknown
HG02390	peripheral 	blood 	DNA unknown
NA11919	peripheral 	blood 	DNA unknown
NA19332	peripheral 	blood 	DNA unknown
HG02855	peripheral 	blood 	DNA unknown
HG03366	peripheral 	blood 	DNA unknown
NA20334	peripheral 	blood 	DNA unknown
HG02628	peripheral 	blood 	DNA unknown
HG02224	peripheral 	blood 	DNA unknown
NA18633	peripheral 	blood 	DNA unknown
HG03625	peripheral 	blood 	DNA unknown
NA18560	peripheral 	blood 	DNA unknown
NA20522	peripheral 	blood 	DNA unknown
HG01809	peripheral 	blood 	DNA unknown
NA20767	peripheral 	blood 	DNA unknown
HG01187	peripheral 	blood 	DNA unknown
NA19921	peripheral 	blood 	DNA unknown
HG01781	peripheral 	blood 	DNA unknown
HG01518	peripheral 	blood 	DNA unknown
HG01516	peripheral 	blood 	DNA unknown
HG00154	peripheral 	blood 	DNA unknown
NA19043	peripheral 	blood 	DNA unknown
HG02116	peripheral 	blood 	DNA unknown
NA19713	peripheral 	blood 	DNA unknown
HG02971	peripheral 	blood 	DNA unknown
HG03069	peripheral 	blood 	DNA unknown
HG03212	peripheral 	blood 	DNA unknown
NA11920	peripheral 	blood 	DNA unknown
HG01845	peripheral 	blood 	DNA unknown
HG03517	peripheral 	blood 	DNA unknown
HG03072	peripheral 	blood 	DNA unknown
NA20806	peripheral 	blood 	DNA unknown
HG02682	peripheral 	blood 	DNA unknown
NA18573	peripheral 	blood 	DNA unknown
HG02604	peripheral 	blood 	DNA unknown
HG00126	peripheral 	blood 	DNA unknown
NA19307	peripheral 	blood 	DNA unknown
HG01707	peripheral 	blood 	DNA unknown
NA19256	peripheral 	blood 	DNA unknown
HG03559	peripheral 	blood 	DNA unknown
HG00479	peripheral 	blood 	DNA unknown
HG01914	peripheral 	blood 	DNA unknown
NA19318	peripheral 	blood 	DNA unknown
NA19676	peripheral 	blood 	DNA unknown
HG00339	peripheral 	blood 	DNA unknown
NA20505	peripheral 	blood 	DNA unknown
NA20582	peripheral 	blood 	DNA unknown
HG00595	peripheral 	blood 	DNA unknown
NA19700	peripheral 	blood 	DNA unknown
HG02166	peripheral 	blood 	DNA unknown
HG03577	peripheral 	blood 	DNA unknown
HG01063	peripheral 	blood 	DNA unknown
NA20539	peripheral 	blood 	DNA unknown
HG02819	peripheral 	blood 	DNA unknown
NA19000	peripheral 	blood 	DNA unknown
HG02016	peripheral 	blood 	DNA unknown
HG00132	peripheral 	blood 	DNA unknown
NA19236	peripheral 	blood 	DNA unknown
HG01796	peripheral 	blood 	DNA unknown
HG02427	peripheral 	blood 	DNA unknown
HG02691	peripheral 	blood 	DNA unknown
HG01988	peripheral 	blood 	DNA unknown
HG00113	peripheral 	blood 	DNA unknown
HG02394	peripheral 	blood 	DNA unknown
HG02760	peripheral 	blood 	DNA unknown
NA20518	peripheral 	blood 	DNA unknown
HG03169	peripheral 	blood 	DNA unknown
HG01124	peripheral 	blood 	DNA unknown
HG02583	peripheral 	blood 	DNA unknown
HG01783	peripheral 	blood 	DNA unknown
NA18538	peripheral 	blood 	DNA unknown
NA18626	peripheral 	blood 	DNA unknown
HG02236	peripheral 	blood 	DNA unknown
NA20529	peripheral 	blood 	DNA unknown
HG01485	peripheral 	blood 	DNA unknown
HG00463	peripheral 	blood 	DNA unknown
NA19431	peripheral 	blood 	DNA unknown
NA20291	peripheral 	blood 	DNA unknown
HG00255	peripheral 	blood 	DNA unknown
HG00705	peripheral 	blood 	DNA unknown
HG00704	peripheral 	blood 	DNA unknown
NA20881	peripheral 	blood 	DNA unknown
HG01136	peripheral 	blood 	DNA unknown
HG00277	peripheral 	blood 	DNA unknown
HG01312	peripheral 	blood 	DNA unknown
HG03458	peripheral 	blood 	DNA unknown
NA18973	peripheral 	blood 	DNA unknown
HG03520	peripheral 	blood 	DNA unknown
HG00231	peripheral 	blood 	DNA unknown
HG01253	peripheral 	blood 	DNA unknown
HG02807	peripheral 	blood 	DNA unknown
HG00185	peripheral 	blood 	DNA unknown
HG02142	peripheral 	blood 	DNA unknown
HG00589	peripheral 	blood 	DNA unknown
NA18992	peripheral 	blood 	DNA unknown
NA18997	peripheral 	blood 	DNA unknown
HG01468	peripheral 	blood 	DNA unknown
HG01700	peripheral 	blood 	DNA unknown
HG01054	peripheral 	blood 	DNA unknown
NA19005	peripheral 	blood 	DNA unknown
NA20813	peripheral 	blood 	DNA unknown
HG03378	peripheral 	blood 	DNA unknown
HG01990	peripheral 	blood 	DNA unknown
NA18641	peripheral 	blood 	DNA unknown
NA19780	peripheral 	blood 	DNA unknown
HG01798	peripheral 	blood 	DNA unknown
NA18861	peripheral 	blood 	DNA unknown
HG02512	peripheral 	blood 	DNA unknown
NA20803	peripheral 	blood 	DNA unknown
NA20797	peripheral 	blood 	DNA unknown
HG00121	peripheral 	blood 	DNA unknown
NA19920	peripheral 	blood 	DNA unknown
NA19138	peripheral 	blood 	DNA unknown
NA06985	peripheral 	blood 	DNA unknown
HG00266	peripheral 	blood 	DNA unknown
NA19153	peripheral 	blood 	DNA unknown
HG03224	peripheral 	blood 	DNA unknown
NA20771	peripheral 	blood 	DNA unknown
HG03301	peripheral 	blood 	DNA unknown
HG02019	peripheral 	blood 	DNA unknown
HG00351	peripheral 	blood 	DNA unknown
HG00149	peripheral 	blood 	DNA unknown
NA18976	peripheral 	blood 	DNA unknown
HG02635	peripheral 	blood 	DNA unknown
HG00650	peripheral 	blood 	DNA unknown
NA19118	peripheral 	blood 	DNA unknown
HG01593	peripheral 	blood 	DNA unknown
HG01528	peripheral 	blood 	DNA unknown
NA19067	peripheral 	blood 	DNA unknown
HG03547	peripheral 	blood 	DNA unknown
HG00356	peripheral 	blood 	DNA unknown
NA18956	peripheral 	blood 	DNA unknown
HG02307	peripheral 	blood 	DNA unknown
HG01334	peripheral 	blood 	DNA unknown
NA19468	peripheral 	blood 	DNA unknown
NA18944	peripheral 	blood 	DNA unknown
HG02568	peripheral 	blood 	DNA unknown
HG02088	peripheral 	blood 	DNA unknown
HG02009	peripheral 	blood 	DNA unknown
HG02885	peripheral 	blood 	DNA unknown
HG02613	peripheral 	blood 	DNA unknown
HG00265	peripheral 	blood 	DNA unknown
HG00446	peripheral 	blood 	DNA unknown
HG02284	peripheral 	blood 	DNA unknown
HG02356	peripheral 	blood 	DNA unknown
HG02178	peripheral 	blood 	DNA unknown
HG00637	peripheral 	blood 	DNA unknown
NA19114	peripheral 	blood 	DNA unknown
NA12814	peripheral 	blood 	DNA unknown
HG03160	peripheral 	blood 	DNA unknown
NA12043	peripheral 	blood 	DNA unknown
HG00259	peripheral 	blood 	DNA unknown
NA20800	peripheral 	blood 	DNA unknown
NA12234	peripheral 	blood 	DNA unknown
HG01870	peripheral 	blood 	DNA unknown
HG02025	peripheral 	blood 	DNA unknown
HG01915	peripheral 	blood 	DNA unknown
NA12843	peripheral 	blood 	DNA unknown
HG02072	peripheral 	blood 	DNA unknown
HG02938	peripheral 	blood 	DNA unknown
NA19391	peripheral 	blood 	DNA unknown
HG02379	peripheral 	blood 	DNA unknown
HG03571	peripheral 	blood 	DNA unknown
HG02334	peripheral 	blood 	DNA unknown
NA20516	peripheral 	blood 	DNA unknown
NA18947	peripheral 	blood 	DNA unknown
HG02133	peripheral 	blood 	DNA unknown
HG00242	peripheral 	blood 	DNA unknown
NA18579	peripheral 	blood 	DNA unknown
NA19314	peripheral 	blood 	DNA unknown
HG02494	peripheral 	blood 	DNA unknown
HG02032	peripheral 	blood 	DNA unknown
NA12341	peripheral 	blood 	DNA unknown
NA18614	peripheral 	blood 	DNA unknown
HG00331	peripheral 	blood 	DNA unknown
NA20532	peripheral 	blood 	DNA unknown
HG02702	peripheral 	blood 	DNA unknown
NA20282	peripheral 	blood 	DNA unknown
HG01524	peripheral 	blood 	DNA unknown
HG01492	peripheral 	blood 	DNA unknown
HG03130	peripheral 	blood 	DNA unknown
NA19454	peripheral 	blood 	DNA unknown
HG00365	peripheral 	blood 	DNA unknown
HG01256	peripheral 	blood 	DNA unknown
NA20827	peripheral 	blood 	DNA unknown
NA12286	peripheral 	blood 	DNA unknown
NA19323	peripheral 	blood 	DNA unknown
HG01441	peripheral 	blood 	DNA unknown
HG01167	peripheral 	blood 	DNA unknown
HG01197	peripheral 	blood 	DNA unknown
HG02188	peripheral 	blood 	DNA unknown
NA19079	peripheral 	blood 	DNA unknown
HG02481	peripheral 	blood 	DNA unknown
HG02445	peripheral 	blood 	DNA unknown
NA12763	peripheral 	blood 	DNA unknown
NA18873	peripheral 	blood 	DNA unknown
NA19093	peripheral 	blood 	DNA unknown
NA20346	peripheral 	blood 	DNA unknown
NA20786	peripheral 	blood 	DNA unknown
HG00409	peripheral 	blood 	DNA unknown
NA12872	peripheral 	blood 	DNA unknown
NA18564	peripheral 	blood 	DNA unknown
HG02155	peripheral 	blood 	DNA unknown
HG01767	peripheral 	blood 	DNA unknown
NA12778	peripheral 	blood 	DNA unknown
HG00556	peripheral 	blood 	DNA unknown
HG02079	peripheral 	blood 	DNA unknown
HG01610	peripheral 	blood 	DNA unknown
HG01080	peripheral 	blood 	DNA unknown
HG01503	peripheral 	blood 	DNA unknown
HG02555	peripheral 	blood 	DNA unknown
HG02620	peripheral 	blood 	DNA unknown
NA19001	peripheral 	blood 	DNA unknown
NA07051	peripheral 	blood 	DNA unknown
HG00628	peripheral 	blood 	DNA unknown
NA18534	peripheral 	blood 	DNA unknown
NA19913	peripheral 	blood 	DNA unknown
HG01046	peripheral 	blood 	DNA unknown
HG03247	peripheral 	blood 	DNA unknown
NA20870	peripheral 	blood 	DNA unknown
NA20832	peripheral 	blood 	DNA unknown
NA19146	peripheral 	blood 	DNA unknown
HG02397	peripheral 	blood 	DNA unknown
NA20508	peripheral 	blood 	DNA unknown
HG02049	peripheral 	blood 	DNA unknown
HG02272	peripheral 	blood 	DNA unknown
NA19090	peripheral 	blood 	DNA unknown
HG00368	peripheral 	blood 	DNA unknown
NA12828	peripheral 	blood 	DNA unknown
NA19347	peripheral 	blood 	DNA unknown
HG00534	peripheral 	blood 	DNA unknown
NA19383	peripheral 	blood 	DNA unknown
NA18909	peripheral 	blood 	DNA unknown
HG03271	peripheral 	blood 	DNA unknown
HG01871	peripheral 	blood 	DNA unknown
HG00683	peripheral 	blood 	DNA unknown
HG01280	peripheral 	blood 	DNA unknown
NA18629	peripheral 	blood 	DNA unknown
HG01817	peripheral 	blood 	DNA unknown
HG02573	peripheral 	blood 	DNA unknown
NA20792	peripheral 	blood 	DNA unknown
NA19901	peripheral 	blood 	DNA unknown
HG01682	peripheral 	blood 	DNA unknown
HG02973	peripheral 	blood 	DNA unknown
HG03189	peripheral 	blood 	DNA unknown
HG00500	peripheral 	blood 	DNA unknown
HG02250	peripheral 	blood 	DNA unknown
HG01843	peripheral 	blood 	DNA unknown
NA18985	peripheral 	blood 	DNA unknown
HG02890	peripheral 	blood 	DNA unknown
NA18547	peripheral 	blood 	DNA unknown
HG03088	peripheral 	blood 	DNA unknown
NA19704	peripheral 	blood 	DNA unknown
NA19310	peripheral 	blood 	DNA unknown
HG01882	peripheral 	blood 	DNA unknown
HG03265	peripheral 	blood 	DNA unknown
HG00663	peripheral 	blood 	DNA unknown
HG03099	peripheral 	blood 	DNA unknown
HG02813	peripheral 	blood 	DNA unknown
HG03082	peripheral 	blood 	DNA unknown
NA18865	peripheral 	blood 	DNA unknown
NA18623	peripheral 	blood 	DNA unknown
HG00320	peripheral 	blood 	DNA unknown
HG00304	peripheral 	blood 	DNA unknown
HG00740	peripheral 	blood 	DNA unknown
NA20864	peripheral 	blood 	DNA unknown
NA18603	peripheral 	blood 	DNA unknown
