SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR
HG02979	peripheral 	blood 	DNA unknown
HG01097	peripheral 	blood 	DNA unknown
HG01137	peripheral 	blood 	DNA unknown
HG02561	peripheral 	blood 	DNA unknown
HG03024	peripheral 	blood 	DNA unknown
HG00311	peripheral 	blood 	DNA unknown
HG01498	peripheral 	blood 	DNA unknown
HG03473	peripheral 	blood 	DNA unknown
HG00671	peripheral 	blood 	DNA unknown
HG01474	peripheral 	blood 	DNA unknown
NA18620	peripheral 	blood 	DNA unknown
HG00345	peripheral 	blood 	DNA unknown
HG01171	peripheral 	blood 	DNA unknown
NA18945	peripheral 	blood 	DNA unknown
HG02878	peripheral 	blood 	DNA unknown
HG01802	peripheral 	blood 	DNA unknown
HG03433	peripheral 	blood 	DNA unknown
HG01392	peripheral 	blood 	DNA unknown
HG00622	peripheral 	blood 	DNA unknown
HG02471	peripheral 	blood 	DNA unknown
HG02084	peripheral 	blood 	DNA unknown
HG00244	peripheral 	blood 	DNA unknown
HG02139	peripheral 	blood 	DNA unknown
HG03025	peripheral 	blood 	DNA unknown
NA20332	peripheral 	blood 	DNA unknown
HG01303	peripheral 	blood 	DNA unknown
NA19152	peripheral 	blood 	DNA unknown
HG01595	peripheral 	blood 	DNA unknown
HG02082	peripheral 	blood 	DNA unknown
NA18984	peripheral 	blood 	DNA unknown
NA12046	peripheral 	blood 	DNA unknown
HG01527	peripheral 	blood 	DNA unknown
NA19108	peripheral 	blood 	DNA unknown
HG03100	peripheral 	blood 	DNA unknown
HG00160	peripheral 	blood 	DNA unknown
NA18876	peripheral 	blood 	DNA unknown
NA11918	peripheral 	blood 	DNA unknown
HG00173	peripheral 	blood 	DNA unknown
NA20764	peripheral 	blood 	DNA unknown
HG01188	peripheral 	blood 	DNA unknown
HG00251	peripheral 	blood 	DNA unknown
HG00372	peripheral 	blood 	DNA unknown
HG01699	peripheral 	blood 	DNA unknown
HG02571	peripheral 	blood 	DNA unknown
HG00133	peripheral 	blood 	DNA unknown
NA20910	peripheral 	blood 	DNA unknown
NA20502	peripheral 	blood 	DNA unknown
NA18864	peripheral 	blood 	DNA unknown
HG01867	peripheral 	blood 	DNA unknown
HG03124	peripheral 	blood 	DNA unknown
HG02364	peripheral 	blood 	DNA unknown
HG02407	peripheral 	blood 	DNA unknown
NA11840	peripheral 	blood 	DNA unknown
HG01849	peripheral 	blood 	DNA unknown
NA19446	peripheral 	blood 	DNA unknown
HG03485	peripheral 	blood 	DNA unknown
HG01848	peripheral 	blood 	DNA unknown
HG01842	peripheral 	blood 	DNA unknown
NA19066	peripheral 	blood 	DNA unknown
NA19834	peripheral 	blood 	DNA unknown
NA18505	peripheral 	blood 	DNA unknown
NA19394	peripheral 	blood 	DNA unknown
NA18940	peripheral 	blood 	DNA unknown
HG00442	peripheral 	blood 	DNA unknown
NA12383	peripheral 	blood 	DNA unknown
HG02817	peripheral 	blood 	DNA unknown
HG02383	peripheral 	blood 	DNA unknown
NA19082	peripheral 	blood 	DNA unknown
HG00448	peripheral 	blood 	DNA unknown
HG01110	peripheral 	blood 	DNA unknown
HG00383	peripheral 	blood 	DNA unknown
HG02075	peripheral 	blood 	DNA unknown
NA18582	peripheral 	blood 	DNA unknown
NA19027	peripheral 	blood 	DNA unknown
HG03342	peripheral 	blood 	DNA unknown
HG00380	peripheral 	blood 	DNA unknown
HG01257	peripheral 	blood 	DNA unknown
HG00759	peripheral 	blood 	DNA unknown
NA11829	peripheral 	blood 	DNA unknown
NA19117	peripheral 	blood 	DNA unknown
HG02181	peripheral 	blood 	DNA unknown
HG00344	peripheral 	blood 	DNA unknown
NA19175	peripheral 	blood 	DNA unknown
HG02836	peripheral 	blood 	DNA unknown
HG01052	peripheral 	blood 	DNA unknown
HG03052	peripheral 	blood 	DNA unknown
HG01890	peripheral 	blood 	DNA unknown
HG01067	peripheral 	blood 	DNA unknown
HG00101	peripheral 	blood 	DNA unknown
NA19328	peripheral 	blood 	DNA unknown
NA18991	peripheral 	blood 	DNA unknown
HG01615	peripheral 	blood 	DNA unknown
HG01612	peripheral 	blood 	DNA unknown
NA18644	peripheral 	blood 	DNA unknown
HG00232	peripheral 	blood 	DNA unknown
HG02325	peripheral 	blood 	DNA unknown
HG01351	peripheral 	blood 	DNA unknown
NA18960	peripheral 	blood 	DNA unknown
HG03401	peripheral 	blood 	DNA unknown
HG00732	peripheral 	blood 	DNA unknown
NA19087	peripheral 	blood 	DNA unknown
HG03380	peripheral 	blood 	DNA unknown
NA12006	peripheral 	blood 	DNA unknown
HG02221	peripheral 	blood 	DNA unknown
